药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
168,乌药 天冬,乌药,温,辛,"肺,脾,肾,膀胱",天冬,寒,"甘,苦","肺,肾"
169,木香 附子,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",附子,热,"辛,甘","心,肾,脾"
170,陈皮 槟榔,陈皮,温,"苦,辛","肺,脾",槟榔,温,"苦,辛","胃,大肠"
171,木香 茯苓,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",茯苓,平,"甘,","心,肺,脾,肾"
172,香附 夏枯草,香附,平,"辛,苦,甘","肝,脾,三焦",夏枯草,寒,"辛,苦","肝,胆"
173,香附 大黄,香附,平,"辛,苦,甘","肝,脾,三焦",大黄,寒,苦,"脾,胃,大肠,肝,心包"
174,木香 黄连,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
175,木香 苦参,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",苦参,寒,苦,"心,肝,胃,大肠,膀胱"
176,枳壳 黄连,枳壳,寒,"苦,辛,酸","脾,胃",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
177,枳壳 苦参,枳壳,寒,"苦,辛,酸","脾,胃",苦参,寒,苦,"心,肝,胃,大肠,膀胱"
178,枳壳 黄芩,枳壳,寒,"苦,辛,酸","脾,胃",黄芩,寒,苦,"肺,胆,脾,大肠,小肠"
179,砂仁 陈皮,砂仁,温,辛,"脾,胃,肾",陈皮,温,"苦,辛","肺,脾"
180,升麻 陈皮,升麻,寒,"辛,甘","肺,脾,胃,大肠",陈皮,温,"苦,辛","肺,脾"
181,枳壳 桔梗,枳壳,寒,"苦,辛,酸","脾,胃",桔梗,平,"苦,辛",肺
182,青皮 柴胡,青皮,温,"苦,辛","肝,胆,胃",柴胡,寒,"辛,苦","肝,胆,肺"
183,小茴香 沉香,小茴香,温,辛,"肝,肾,脾,胃",沉香,温,"辛,苦","脾,胃,肾"
184,檀香 丹参,檀香,温,辛,"脾,胃,心,肺",丹参,寒,苦,"心,肝"
185,香附 川芎,香附,平,"辛,苦,甘","肝,脾,三焦",川芎,温,辛,"肝,胆,心包"
186,番泻叶 陈皮,番泻叶,寒,"甘,苦",大肠,陈皮,温,"苦,辛","肺,脾"
187,陈皮 白术,陈皮,温,"苦,辛","肺,脾",白术,温,"苦,甘","脾,胃"
188,香附 丹参,香附,平,"辛,苦,甘","肝,脾,三焦",丹参,寒,苦,"心,肝"
189,陈皮 苍术,陈皮,温,"苦,辛","肺,脾",苍术,温,"辛,苦","脾,胃,肝"
190,薤白 黄柏,薤白,温,"辛,苦","心,肺,胃,大肠",黄柏,寒,苦,"肾,膀胱"
