Model,FPR,TPR
Naive Bayes,0.058824,0.265810
Naive Bayes,0.065217,0.267580
Naive Bayes,0.068182,0.295650
Naive Bayes,0.073171,0.322769
Naive Bayes,0.075000,0.329492
Naive Bayes,0.078431,0.331344
Naive Bayes,0.086957,0.354352
Naive Bayes,0.090909,0.384177
Naive Bayes,0.100000,0.385858
Naive Bayes,0.108696,0.396477
Naive Bayes,0.117647,0.403884
Naive Bayes,0.121951,0.419139
Naive Bayes,0.125000,0.430903
Naive Bayes,0.130435,0.441523
Naive Bayes,0.136364,0.459067
Naive Bayes,0.146341,0.460762
Naive Bayes,0.150000,0.462442
Naive Bayes,0.152174,0.464212
Naive Bayes,0.156863,0.464212
Naive Bayes,0.159091,0.478247
Naive Bayes,0.173913,0.488867
Naive Bayes,0.175000,0.492228
Naive Bayes,0.176471,0.494080
Naive Bayes,0.181818,0.495834
Naive Bayes,0.195652,0.501144
Naive Bayes,0.196078,0.528922
Naive Bayes,0.200000,0.535645
Naive Bayes,0.204545,0.542662
Naive Bayes,0.215686,0.544514
Naive Bayes,0.217391,0.553364
Naive Bayes,0.219512,0.582177
Naive Bayes,0.225000,0.593942
Naive Bayes,0.227273,0.599205
Naive Bayes,0.250000,0.600886
Naive Bayes,0.254902,0.611997
Naive Bayes,0.260870,0.615537
Naive Bayes,0.268293,0.625706
Naive Bayes,0.272727,0.629215
Naive Bayes,0.275000,0.634257
Naive Bayes,0.282609,0.639567
Naive Bayes,0.292683,0.644651
Naive Bayes,0.295455,0.648160
Naive Bayes,0.300000,0.656563
Naive Bayes,0.313725,0.663971
Naive Bayes,0.318182,0.667480
Naive Bayes,0.325000,0.669160
Naive Bayes,0.326087,0.674470
Naive Bayes,0.340909,0.679733
Naive Bayes,0.341463,0.686513
Naive Bayes,0.347826,0.691823
Naive Bayes,0.350000,0.695184
Naive Bayes,0.363636,0.696938
Naive Bayes,0.365854,0.703718
Naive Bayes,0.369565,0.705488
Naive Bayes,0.375000,0.708849
Naive Bayes,0.392157,0.716257
Naive Bayes,0.400000,0.721299
Naive Bayes,0.409091,0.726562
Naive Bayes,0.414634,0.740121
Naive Bayes,0.425000,0.745163
Naive Bayes,0.431373,0.754422
Naive Bayes,0.431818,0.757931
Naive Bayes,0.434783,0.765011
Naive Bayes,0.450000,0.771734
Naive Bayes,0.454545,0.773488
Naive Bayes,0.463415,0.781963
Naive Bayes,0.475000,0.783643
Naive Bayes,0.478261,0.783643
Naive Bayes,0.487805,0.793813
Naive Bayes,0.490196,0.797516
Naive Bayes,0.500000,0.818069
Naive Bayes,0.509804,0.829180
Naive Bayes,0.512195,0.832569
Naive Bayes,0.522727,0.839587
Naive Bayes,0.536585,0.841282
Naive Bayes,0.543478,0.846592
Naive Bayes,0.545455,0.848346
Naive Bayes,0.549020,0.848346
Naive Bayes,0.550000,0.850027
Naive Bayes,0.560976,0.855111
Naive Bayes,0.568627,0.860667
Naive Bayes,0.585366,0.862362
Naive Bayes,0.586957,0.865902
Naive Bayes,0.590909,0.869411
Naive Bayes,0.600000,0.876133
Naive Bayes,0.607843,0.879837
Naive Bayes,0.608696,0.883377
Naive Bayes,0.609756,0.885072
Naive Bayes,0.613636,0.895598
Naive Bayes,0.625000,0.898959
Naive Bayes,0.634146,0.900654
Naive Bayes,0.636364,0.902409
Naive Bayes,0.666667,0.911668
Naive Bayes,0.681818,0.913422
Naive Bayes,0.695652,0.916962
Naive Bayes,0.700000,0.920323
Naive Bayes,0.704545,0.923832
Naive Bayes,0.705882,0.925684
Naive Bayes,0.717391,0.927454
Naive Bayes,0.725490,0.929306
Naive Bayes,0.727273,0.931060
Naive Bayes,0.739130,0.934600
Naive Bayes,0.745098,0.936452
Naive Bayes,0.750000,0.939813
Naive Bayes,0.760870,0.941583
Naive Bayes,0.764706,0.947139
Naive Bayes,0.772727,0.948893
Naive Bayes,0.775000,0.950574
Naive Bayes,0.800000,0.953935
Naive Bayes,0.803922,0.955787
Naive Bayes,0.804348,0.959327
Naive Bayes,0.818182,0.964590
Naive Bayes,0.825000,0.967951
Naive Bayes,0.843137,0.969803
Naive Bayes,0.853659,0.971498
Naive Bayes,0.862745,0.980757
Naive Bayes,0.869565,0.986067
Naive Bayes,0.886364,0.989576
Naive Bayes,0.909091,0.993085
Naive Bayes,0.913043,0.994855
Naive Bayes,0.925000,0.996535
Naive Bayes,0.926829,0.998230
Naive Bayes,0.956522,1.000000
Naive Bayes,1.000000,1.000000
KNN,0.000000,0.032203
KNN,0.021739,0.170963
KNN,0.025000,0.188857
KNN,0.045455,0.275247
KNN,0.048780,0.287754
KNN,0.058824,0.315865
KNN,0.065217,0.334326
KNN,0.113636,0.436453
KNN,0.150000,0.498182
KNN,0.156863,0.509278
KNN,0.250000,0.621605
KNN,0.260870,0.631913
KNN,0.268293,0.638382
KNN,0.313725,0.687445
KNN,0.318182,0.692026
KNN,0.341463,0.716044
KNN,0.400000,0.760840
KNN,0.477273,0.813441
KNN,0.478261,0.813972
KNN,0.487805,0.820007
KNN,0.509804,0.832453
KNN,0.608696,0.886534
KNN,0.636364,0.898285
KNN,0.666667,0.911958
KNN,0.675000,0.915193
KNN,0.682927,0.918586
KNN,0.739130,0.940997
KNN,0.750000,0.945036
KNN,0.784314,0.959244
KNN,0.825000,0.974536
KNN,0.840909,0.979267
KNN,0.869565,0.983919
KNN,0.900000,0.987413
KNN,0.921569,0.989407
KNN,0.951220,0.991880
KNN,0.954545,0.992168
KNN,0.956522,0.992339
