Model,Fold,Epoch,Train_Loss,Test_Loss,TPR,FPR
XGBoost,2,470,0.6928,0.6824,1.0000,1.0000
XGBoost,2,480,0.6928,0.6889,1.0000,1.0000
XGBoost,2,490,0.6931,0.6799,1.0000,1.0000
XGBoost,2,500,0.6929,0.6818,1.0000,1.0000
Logistic Regression,2,10,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,20,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,30,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,40,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,50,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,60,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,70,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,80,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,90,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,100,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,110,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,120,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,130,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,140,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,150,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,160,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,170,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,180,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,190,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,200,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,210,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,220,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,230,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,240,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,250,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,260,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,270,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,280,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,290,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,300,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,310,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,320,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,330,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,340,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,350,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,360,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,370,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,380,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,390,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,400,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,410,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,420,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,430,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,440,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,450,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,460,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,470,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,480,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,490,0.2388,0.3531,0.8261,0.0769
Logistic Regression,2,500,0.2388,0.3531,0.8261,0.0769
Naive Bayes,2,500,0.3601,0.5059,0.8261,0.0000
KNN,2,500,0.2618,0.3994,0.7826,0.0769
SVM,2,500,0.3656,0.5186,0.6957,0.1538
XGBoost,3,10,0.6922,0.6820,1.0000,1.0000
XGBoost,3,20,0.6924,0.6817,1.0000,1.0000
XGBoost,3,30,0.6916,0.6857,1.0000,1.0000
XGBoost,3,40,0.6916,0.6858,1.0000,1.0000
XGBoost,3,50,0.6929,0.6809,1.0000,1.0000
XGBoost,3,60,0.6955,0.6991,0.0000,0.0000
XGBoost,3,70,0.6920,0.6891,1.0000,1.0000
XGBoost,3,80,0.6918,0.6833,1.0000,1.0000
XGBoost,3,90,0.6916,0.6851,1.0000,1.0000
XGBoost,3,100,0.6922,0.6901,1.0000,1.0000
XGBoost,3,110,0.6921,0.6896,1.0000,1.0000
XGBoost,3,120,0.6930,0.6927,1.0000,1.0000
XGBoost,3,130,0.6918,0.6831,1.0000,1.0000
XGBoost,3,140,0.6916,0.6841,1.0000,1.0000
XGBoost,3,150,0.6925,0.6910,1.0000,1.0000
XGBoost,3,160,0.6929,0.6922,1.0000,1.0000
XGBoost,3,170,0.6917,0.6877,1.0000,1.0000
XGBoost,3,180,0.6917,0.6837,1.0000,1.0000
XGBoost,3,190,0.6916,0.6859,1.0000,1.0000
XGBoost,3,200,0.6925,0.6815,1.0000,1.0000
XGBoost,3,210,0.6918,0.6877,1.0000,1.0000
XGBoost,3,220,0.6916,0.6862,1.0000,1.0000
XGBoost,3,230,0.6916,0.6840,1.0000,1.0000
XGBoost,3,240,0.6916,0.6844,1.0000,1.0000
XGBoost,3,250,0.6930,0.6926,1.0000,1.0000
XGBoost,3,260,0.6916,0.6861,1.0000,1.0000
